grade,unit,lesson_number,lesson_name,character1,character2
1,1,1,小蜗牛交友记,子 小,朋友 你好
1,1,2,自我介绍,人 女,在 月 六岁
1,1,3,小兔打电话,个 问 ,您 请 妹 哥
1,1,4,柚子哥哥的暖屋,大 水,的 不 果园
1,1,5,小乐生气了,乐,气 飞 火
1,2,1,比耳朵,长 马,耳朵尖 比兔圆
1,2,2,咏鹅,白毛,红绿天
1,2,3,青蛙写诗,下串,雨写里点
1,2,4,小白兔找吃的,兔只,什么开心
1,2,5,乌鸦喝水,石农,乌见夫咬
1,3,1,春天在哪里,里雨,花草春风
1,3,2,一朵小白云,云会,池边夏变
1,3,3,秋天,片果,树叶秋有
1,3,4,暖暖的冬天,冬雪,睡觉时候
1,3,5,四个太阳,太,阳彩
1,4,1,项链,贝色,笑向金和
1,4,2,月亮姑娘做衣服,衣尺,服细胖悄
1,4,3,江南,东西鱼,江
1,4,4,后羿射日，夸父追日,光出,阳明热后
1,4,5,雨点儿,空有,更数没到
1,5,1,影子,好朋,影前左右
1,5,2,夜色,看笑,窗外胆晚
1,5,3,大卫不可以,可我,吃洗爱安
1,5,4,大还是小,时自己,觉穿很
1,5,5,你很快就会长高,才,能高叔姐
1,6,1,一分钟,背坐,汽钟座迟
1,6,2,文具的家,书平,包笔作业
1,6,3,一个接一个,梦学,伙伴过这
1,6,4,怎么都快乐,当打,玩讲踢跳
1,6,5,小明的输和赢,名,家常
1,7,1,昆虫的世界,虫房,蚂蚁蜻蜓
1,7,2,小猴子下山,瓜扔,猴掰抱摘
1,7,3,小壁虎借尾巴,条 虎,捉 蚊 转 爬
1,7,4,树和喜鹊,单 也,种 棵 每 都
1,7,5,小公鸡和小鸭子,他 行,快 地 听 说
1,8,1,月亮的味道,老 高,海 闻 球 温
1,8,2,要下雨了,呢 吗,呀 闷 吧 搬
1,8,3,咕咚,吓 象,跟 怕 鹿 逃
1,8,4,小儿采莲,采 池,娃 莲 浮 道
1,8,5,荷叶圆圆,亮 朵,珠 躺 美 唱
1,9,1,一园青菜,青 菜,豆 芽 扫 甩
1,9,2,端午粽香,豆 米 午 节,端 粽
1,9,3,寻龙奇遇记,龙 害,保 护 灯 呼
1,9,4,茉莉花,香 首,丽 院 歌 国
1,9,5,过新年,过,新 年
1,10,1,北京,京 运,城 宫 还 故
1,10,2,万里长城,爬 息,游客 战 信
1,10,3,长江黄河,母 亲,河 路 蓝
1,10,4,西安,皮 画,肉 食 图 兵
1,10,5,壮美中国,星 国,原 岛 泥 是
2,1,1,慧眼观世界,井 沿 弄 抬,话 渴 喝 错 际 哪
2,1,2,四季律动,轻 吹 金 唱,春 沉 披 秋 收 银
2,1,3,北国风光,川 阴 庐 似,笼 盖 野 苍 茫
2,1,4,茫茫云海,变 黄 必 极,灰 紫 烧 胡 灿 根
2,1,5,天人合一,要 家 朋 友,记宫戏采深护
2,2,1,成长伙伴,具赶龙纹,破壳恐角伸跑
